ticker,year,mda_len,notes_len,esg_len,mda_path,notes_path,esg_path,status,pdf_url
BID,2022,108653,78513,93021,data/text/extracted_text/BID_2022_MDA.txt,data/text/extracted_text/BID_2022_NOTES.txt,data/text/extracted_text/BID_2022_ESG.txt,cached,
BVH,2022,0,0,0,data/text/extracted_text/BVH_2022_MDA.txt,data/text/extracted_text/BVH_2022_NOTES.txt,data/text/extracted_text/BVH_2022_ESG.txt,extracted,local_cache
CII,2022,0,0,0,data/text/extracted_text/CII_2022_MDA.txt,data/text/extracted_text/CII_2022_NOTES.txt,data/text/extracted_text/CII_2022_ESG.txt,extracted,local_cache
CTG,2022,149999,211544,21959,data/text/extracted_text/CTG_2022_MDA.txt,data/text/extracted_text/CTG_2022_NOTES.txt,data/text/extracted_text/CTG_2022_ESG.txt,cached,
DCM,2022,113285,100771,13851,data/text/extracted_text/DCM_2022_MDA.txt,data/text/extracted_text/DCM_2022_NOTES.txt,data/text/extracted_text/DCM_2022_ESG.txt,cached,
DGC,2022,0,0,0,data/text/extracted_text/DGC_2022_MDA.txt,data/text/extracted_text/DGC_2022_NOTES.txt,data/text/extracted_text/DGC_2022_ESG.txt,extracted,local_cache
DXG,2022,0,0,0,data/text/extracted_text/DXG_2022_MDA.txt,data/text/extracted_text/DXG_2022_NOTES.txt,data/text/extracted_text/DXG_2022_ESG.txt,extracted,local_cache
FPT,2022,156582,130668,33264,data/text/extracted_text/FPT_2022_MDA.txt,data/text/extracted_text/FPT_2022_NOTES.txt,data/text/extracted_text/FPT_2022_ESG.txt,cached,
FRT,2022,3172,113312,0,data/text/extracted_text/FRT_2022_MDA.txt,data/text/extracted_text/FRT_2022_NOTES.txt,data/text/extracted_text/FRT_2022_ESG.txt,cached,
GAS,2022,64395,148098,0,data/text/extracted_text/GAS_2022_MDA.txt,data/text/extracted_text/GAS_2022_NOTES.txt,data/text/extracted_text/GAS_2022_ESG.txt,cached,
GMD,2022,119055,0,7835,data/text/extracted_text/GMD_2022_MDA.txt,data/text/extracted_text/GMD_2022_NOTES.txt,data/text/extracted_text/GMD_2022_ESG.txt,cached,
HAG,2022,0,0,0,data/text/extracted_text/HAG_2022_MDA.txt,data/text/extracted_text/HAG_2022_NOTES.txt,data/text/extracted_text/HAG_2022_ESG.txt,extracted,local_cache
HAH,2022,14927,0,0,data/text/extracted_text/HAH_2022_MDA.txt,data/text/extracted_text/HAH_2022_NOTES.txt,data/text/extracted_text/HAH_2022_ESG.txt,cached,
HDB,2022,0,0,0,data/text/extracted_text/HDB_2022_MDA.txt,data/text/extracted_text/HDB_2022_NOTES.txt,data/text/extracted_text/HDB_2022_ESG.txt,extracted,local_cache
HPG,2022,79652,149427,0,data/text/extracted_text/HPG_2022_MDA.txt,data/text/extracted_text/HPG_2022_NOTES.txt,data/text/extracted_text/HPG_2022_ESG.txt,cached,
HSG,2022,127679,201385,19868,data/text/extracted_text/HSG_2022_MDA.txt,data/text/extracted_text/HSG_2022_NOTES.txt,data/text/extracted_text/HSG_2022_ESG.txt,cached,
ITA,2022,718,0,0,data/text/extracted_text/ITA_2022_MDA.txt,data/text/extracted_text/ITA_2022_NOTES.txt,data/text/extracted_text/ITA_2022_ESG.txt,extracted,local_cache
KBC,2022,50808,20358,8756,data/text/extracted_text/KBC_2022_MDA.txt,data/text/extracted_text/KBC_2022_NOTES.txt,data/text/extracted_text/KBC_2022_ESG.txt,cached,
KDH,2022,68708,194966,30157,data/text/extracted_text/KDH_2022_MDA.txt,data/text/extracted_text/KDH_2022_NOTES.txt,data/text/extracted_text/KDH_2022_ESG.txt,cached,
LPB,2022,144816,0,11009,data/text/extracted_text/LPB_2022_MDA.txt,data/text/extracted_text/LPB_2022_NOTES.txt,data/text/extracted_text/LPB_2022_ESG.txt,cached,
MBB,2022,115874,192957,74376,data/text/extracted_text/MBB_2022_MDA.txt,data/text/extracted_text/MBB_2022_NOTES.txt,data/text/extracted_text/MBB_2022_ESG.txt,cached,
MSN,2022,67777,169111,3899,data/text/extracted_text/MSN_2022_MDA.txt,data/text/extracted_text/MSN_2022_NOTES.txt,data/text/extracted_text/MSN_2022_ESG.txt,cached,
MWG,2022,41978,81260,9785,data/text/extracted_text/MWG_2022_MDA.txt,data/text/extracted_text/MWG_2022_NOTES.txt,data/text/extracted_text/MWG_2022_ESG.txt,cached,
NKG,2022,93540,102305,5881,data/text/extracted_text/NKG_2022_MDA.txt,data/text/extracted_text/NKG_2022_NOTES.txt,data/text/extracted_text/NKG_2022_ESG.txt,cached,
NVL,2022,138042,255098,14788,data/text/extracted_text/NVL_2022_MDA.txt,data/text/extracted_text/NVL_2022_NOTES.txt,data/text/extracted_text/NVL_2022_ESG.txt,cached,
PDR,2022,106107,131989,47614,data/text/extracted_text/PDR_2022_MDA.txt,data/text/extracted_text/PDR_2022_NOTES.txt,data/text/extracted_text/PDR_2022_ESG.txt,cached,
PLX,2022,0,0,0,data/text/extracted_text/PLX_2022_MDA.txt,data/text/extracted_text/PLX_2022_NOTES.txt,data/text/extracted_text/PLX_2022_ESG.txt,extracted,local_cache
POW,2022,109796,143746,32047,data/text/extracted_text/POW_2022_MDA.txt,data/text/extracted_text/POW_2022_NOTES.txt,data/text/extracted_text/POW_2022_ESG.txt,cached,
PVD,2022,143402,178636,65659,data/text/extracted_text/PVD_2022_MDA.txt,data/text/extracted_text/PVD_2022_NOTES.txt,data/text/extracted_text/PVD_2022_ESG.txt,cached,
SAB,2022,0,0,0,data/text/extracted_text/SAB_2022_MDA.txt,data/text/extracted_text/SAB_2022_NOTES.txt,data/text/extracted_text/SAB_2022_ESG.txt,extracted,local_cache
SBT,2022,0,0,0,data/text/extracted_text/SBT_2022_MDA.txt,data/text/extracted_text/SBT_2022_NOTES.txt,data/text/extracted_text/SBT_2022_ESG.txt,extracted,local_cache
SHB,2022,0,0,0,data/text/extracted_text/SHB_2022_MDA.txt,data/text/extracted_text/SHB_2022_NOTES.txt,data/text/extracted_text/SHB_2022_ESG.txt,extracted,local_cache
SSI,2022,144784,249342,15068,data/text/extracted_text/SSI_2022_MDA.txt,data/text/extracted_text/SSI_2022_NOTES.txt,data/text/extracted_text/SSI_2022_ESG.txt,cached,
STB,2022,0,0,0,data/text/extracted_text/STB_2022_MDA.txt,data/text/extracted_text/STB_2022_NOTES.txt,data/text/extracted_text/STB_2022_ESG.txt,extracted,local_cache
TCB,2022,8130,169712,0,data/text/extracted_text/TCB_2022_MDA.txt,data/text/extracted_text/TCB_2022_NOTES.txt,data/text/extracted_text/TCB_2022_ESG.txt,cached,
VCB,2022,115447,197351,45468,data/text/extracted_text/VCB_2022_MDA.txt,data/text/extracted_text/VCB_2022_NOTES.txt,data/text/extracted_text/VCB_2022_ESG.txt,cached,
VCI,2022,108171,215043,29375,data/text/extracted_text/VCI_2022_MDA.txt,data/text/extracted_text/VCI_2022_NOTES.txt,data/text/extracted_text/VCI_2022_ESG.txt,cached,
VHM,2022,0,0,0,data/text/extracted_text/VHM_2022_MDA.txt,data/text/extracted_text/VHM_2022_NOTES.txt,data/text/extracted_text/VHM_2022_ESG.txt,extracted,local_cache
VIB,2022,0,0,0,data/text/extracted_text/VIB_2022_MDA.txt,data/text/extracted_text/VIB_2022_NOTES.txt,data/text/extracted_text/VIB_2022_ESG.txt,extracted,local_cache
VIC,2022,130173,259129,45898,data/text/extracted_text/VIC_2022_MDA.txt,data/text/extracted_text/VIC_2022_NOTES.txt,data/text/extracted_text/VIC_2022_ESG.txt,cached,
VJC,2022,149587,137402,0,data/text/extracted_text/VJC_2022_MDA.txt,data/text/extracted_text/VJC_2022_NOTES.txt,data/text/extracted_text/VJC_2022_ESG.txt,cached,
VND,2022,0,0,0,data/text/extracted_text/VND_2022_MDA.txt,data/text/extracted_text/VND_2022_NOTES.txt,data/text/extracted_text/VND_2022_ESG.txt,extracted,local_cache
VNM,2022,87398,142563,12023,data/text/extracted_text/VNM_2022_MDA.txt,data/text/extracted_text/VNM_2022_NOTES.txt,data/text/extracted_text/VNM_2022_ESG.txt,cached,
VPB,2022,94713,172443,19041,data/text/extracted_text/VPB_2022_MDA.txt,data/text/extracted_text/VPB_2022_NOTES.txt,data/text/extracted_text/VPB_2022_ESG.txt,cached,
VRE,2022,77778,113262,7574,data/text/extracted_text/VRE_2022_MDA.txt,data/text/extracted_text/VRE_2022_NOTES.txt,data/text/extracted_text/VRE_2022_ESG.txt,cached,
ACB,2021,122130,325413,7992,data/text/extracted_text/ACB_2021_MDA.txt,data/text/extracted_text/ACB_2021_NOTES.txt,data/text/extracted_text/ACB_2021_ESG.txt,cached,
BID,2021,0,0,0,data/text/extracted_text/BID_2021_MDA.txt,data/text/extracted_text/BID_2021_NOTES.txt,data/text/extracted_text/BID_2021_ESG.txt,extracted,local_cache
BVH,2021,0,0,0,data/text/extracted_text/BVH_2021_MDA.txt,data/text/extracted_text/BVH_2021_NOTES.txt,data/text/extracted_text/BVH_2021_ESG.txt,extracted,local_cache
